id,section,requirement,status,priority,evidence_or_gap,code_path
1.01,חיבור וניהול חשבונות,חיבור עסק ומספר,מומש חלקית,P1,הזנת credentials ובדיקת בעלות; אין Embedded Signup/רישום מספר בממשק,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
1.02,חיבור וניהול חשבונות,מספרים מרובים לעסק,מומש ונבדק,P1,כמה מספרים פעילים מאותו WABA; שיחות וקמפיינים מקובעים למספר. 4 בדיקות PostgreSQL עם Graph מדומה; אין אימות Meta חי,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
1.03,חיבור וניהול חשבונות,שיוך מספר לעסק ולצוות,מומש ונבדק,P1,RLS לעסק ושיוך מספר לצוות; נציג מוגבל לשיוך ולצוות גם בשליחה ישירה. שינוי צוות משחרר שיוך לא מתאים; נבדק במסד,src/lib/organization-context.ts; src/app/api/webhooks/whatsapp/route.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
1.04,חיבור וניהול חשבונות,סטטוס חיבור והרשאות,מומש חלקית,P0,בדיקת Graph קריאה; הגדרה שמורה אינה מוצגת כאימות חיבור נוכחי,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
1.05,חיבור וניהול חשבונות,תקינות Webhook ושגיאת חיבור אחרונה,מומש חלקית,P1,בדיקת גישה ושגיאה לכל מספר וזמן Webhook חתום אחרון; קבלת אירוע חי עדיין לא אומתה,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
1.06,חיבור וניהול חשבונות,פקיעת טוקן וביטול הרשאה,מומש חלקית,P0,קודי הרשאה מוכרים חוסמים שליחה; אין ניטור expiry יזום,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
1.07,חיבור וניהול חשבונות,ניתוק וחיבור מחדש ושמירת היסטוריה,מומש חלקית,P0,"ניתוק וחיבור מחדש של אותו credential נבדקו במסד ושומרים היסטוריה; קבצים משתמשים ב־credential המקורי, אך זמינותם תלויה ב־Meta ובטוקן",src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts; docs/whatsapp-multiple-numbers-2026-09-23.md
1.08,חיבור וניהול חשבונות,איכות ומגבלות חשבון אמיתיות,חסום לבדיקה,P1,אין Meta פעיל; אין מסך quality/throughput ואין ערכים מדומים,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
1.09,חיבור וניהול חשבונות,הגבלת שליחה וחסימת מספר,מומש חלקית,P0,שגיאות הרשאה/חסימה מוכרות עוצרות; אין backoff אוטומטי ל־rate limit,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
1.10,חיבור וניהול חשבונות,סודות בצד שרת,מומש ונבדק,P0,API מחזיר מסכה; Prisma בצד שרת; אין מפתחות בתגובות realtime,src/server/services/provider-credential-service.ts; meta-connection-service.ts; src/server/providers/meta-whatsapp-provider.ts
